country;Bronze;Silver;Gold
United States of America;42;44;40
People's Republic of China;24;27;40
Great Britain;29;22;14
France;22;26;16
Australia;16;19;18
Japan;13;12;20
Italy;15;13;12
Netherlands;12;7;15
Germany;8;13;12
Republic of Korea;10;9;13
Canada;11;7;9
New Zealand;3;7;10
Brazil;10;7;3
Hungary;6;7;6
Spain;9;4;5
Uzbekistan;3;2;8
Islamic Republic of Iran;3;6;3
Ukraine;4;5;3
Sweden;3;4;4
Kenya;5;2;4
Belgium;6;1;3
Poland;5;4;1
Romania;2;4;3
Denmark;5;2;2
Cuba;6;1;2
Norway;3;1;4
Switzerland;5;2;1
Greece;6;1;1
Turkey;5;3;0
Ireland;3;0;4
Georgia;1;3;3
Bulgaria;3;1;3
Azerbaijan;3;2;2
Croatia;3;2;2
Chinese Taipei;5;0;2
Israel;1;5;1
Kazakhstan;3;3;1
Jamaica;2;3;1
South Africa;2;3;1
Thailand;2;3;1
Kyrgyzstan;4;2;0
Democratic People's Republic of Korea;4;2;0
India;5;1;0
Serbia;1;1;3
Czechia;2;0;3
Austria;3;0;2
Ecuador;2;2;1
Mexico;2;3;0
Bahrain;1;1;2
Hong Kong, China;2;0;2
Philippines;2;0;2
Ethiopia;0;3;1
Portugal;1;2;1
Armenia;1;3;0
Colombia;1;3;0
Lithuania;2;2;0
Republic of Moldova;3;1;0
Slovenia;0;1;2
Algeria;1;0;2
Indonesia;1;0;2
Argentina;1;1;1
Egypt;1;1;1
Tunisia;1;1;1
Dominican Republic;2;0;1
Tajikistan;3;0;0
Botswana;0;1;1
Chile;0;1;1
Saint Lucia;0;1;1
Uganda;0;1;1
Guatemala;1;0;1
Morocco;1;0;1
Kosovo;1;1;0
Albania;2;0;0
Grenada;2;0;0
Malaysia;2;0;0
Puerto Rico;2;0;0
Dominica;0;0;1
Pakistan;0;0;1
Cyprus;0;1;0
Fiji;0;1;0
Jordan;0;1;0
Mongolia;0;1;0
Panama;0;1;0
C™te d'Ivoire;1;0;0
Cabo Verde;1;0;0
Refugee Olympic Team;1;0;0
Peru;1;0;0
Qatar;1;0;0
Singapore;1;0;0
Slovakia;1;0;0
Zambia;1;0;0
